"filename", "language", "HTML", "XML", "SQL", "JavaScript", "SCSS", "CSS", "Java", "Markdown", "comment", "blank", "total"
"d:\BCA Project\TutorPod\WebContent\app\js\admin-script.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 0, 3, 9, 64
"d:\BCA Project\TutorPod\WebContent\app\js\jquery-3.6.0.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\BCA Project\TutorPod\WebContent\app\js\jquery.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"d:\BCA Project\TutorPod\WebContent\app\js\jquery2.min.js", "JavaScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"d:\BCA Project\TutorPod\WebContent\app\js\script.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 3, 4, 71
"d:\BCA Project\TutorPod\WebContent\availability.html", "HTML", 791, 0, 0, 0, 0, 0, 0, 0, 0, 37, 828
"d:\BCA Project\TutorPod\WebContent\availability.jsp", "HTML", 181, 0, 0, 0, 0, 0, 0, 0, 0, 2, 183
"d:\BCA Project\TutorPod\WebContent\dashboard.html", "HTML", 321, 0, 0, 0, 0, 0, 0, 0, 0, 3, 324
"d:\BCA Project\TutorPod\WebContent\dashboard.jsp", "HTML", 91, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92
"d:\BCA Project\TutorPod\WebContent\find-tutor.jsp", "HTML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\BCA Project\TutorPod\WebContent\footer.jsp", "HTML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\BCA Project\TutorPod\WebContent\header.jsp", "HTML", 598, 0, 0, 0, 0, 0, 0, 0, 0, 18, 616
"d:\BCA Project\TutorPod\WebContent\images\Hero_Illustration.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\BCA Project\TutorPod\WebContent\images\TutorPod.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\BCA Project\TutorPod\WebContent\images\TutorPod1.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\BCA Project\TutorPod\WebContent\images\TutorPod2.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\BCA Project\TutorPod\WebContent\images\accounts-vector.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\BCA Project\TutorPod\WebContent\images\logout-vector.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\BCA Project\TutorPod\WebContent\images\marketplace-vector.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\BCA Project\TutorPod\WebContent\index.html", "HTML", 391, 0, 0, 0, 0, 0, 0, 0, 0, 12, 403
"d:\BCA Project\TutorPod\WebContent\index.jsp", "HTML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\BCA Project\TutorPod\WebContent\lessons.html", "HTML", 319, 0, 0, 0, 0, 0, 0, 0, 0, 18, 337
"d:\BCA Project\TutorPod\WebContent\lessons.jsp", "HTML", 691, 0, 0, 0, 0, 0, 0, 0, 0, 4, 695
"d:\BCA Project\TutorPod\WebContent\myDb.sql", "SQL", 0, 0, 192, 0, 0, 0, 0, 0, 0, 1, 193
"d:\BCA Project\TutorPod\WebContent\notifications.jsp", "HTML", 118, 0, 0, 0, 0, 0, 0, 0, 0, 1, 119
"d:\BCA Project\TutorPod\WebContent\orders.jsp", "HTML", 81, 0, 0, 0, 0, 0, 0, 0, 0, 1, 82
"d:\BCA Project\TutorPod\WebContent\search-tutor.html", "HTML", 467, 0, 0, 0, 0, 0, 0, 0, 0, 14, 481
"d:\BCA Project\TutorPod\WebContent\search-tutor.jsp", "HTML", 591, 0, 0, 0, 0, 0, 0, 0, 0, 5, 596
"d:\BCA Project\TutorPod\WebContent\sidebar.jsp", "HTML", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70
"d:\BCA Project\TutorPod\WebContent\tutor-application.jsp", "HTML", 1031, 0, 0, 0, 0, 0, 0, 0, 0, 22, 1053
"d:\BCA Project\TutorPod\WebContent\user-dashboard.html", "HTML", 656, 0, 0, 0, 0, 0, 0, 0, 0, 36, 692
"d:\BCA Project\TutorPod\WebContent\wallet.html", "HTML", 292, 0, 0, 0, 0, 0, 0, 0, 0, 19, 311
"d:\BCA Project\TutorPod\WebContent\wallet.jsp", "HTML", 186, 0, 0, 0, 0, 0, 0, 0, 0, 1, 187
