Date : 2021-11-20 23:33:02
Directory : d:\BCA Project\TutorPod
Total : 103 files,  19296 codes, 153 comments, 935 blanks, all 20384 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\BCA Project\TutorPod\WebContent\app\css\_variables.scss                      | SCSS       |         36 |          3 |          3 |         42 |
| d:\BCA Project\TutorPod\WebContent\app\css\admin-styles.css                     | CSS        |      2,217 |          0 |         93 |      2,310 |
| d:\BCA Project\TutorPod\WebContent\app\css\admin-styles.scss                    | SCSS       |          9 |          0 |          0 |          9 |
| d:\BCA Project\TutorPod\WebContent\app\css\style.css                            | CSS        |      2,286 |          0 |         94 |      2,380 |
| d:\BCA Project\TutorPod\WebContent\app\css\style.scss                           | SCSS       |          8 |          0 |          1 |          9 |
| d:\BCA Project\TutorPod\WebContent\app\js\admin-script.js                       | JavaScript |         52 |          3 |          9 |         64 |
| d:\BCA Project\TutorPod\WebContent\app\js\jquery-3.6.0.min.js                   | JavaScript |          1 |          1 |          1 |          3 |
| d:\BCA Project\TutorPod\WebContent\app\js\jquery.min.js                         | JavaScript |          1 |          1 |          1 |          3 |
| d:\BCA Project\TutorPod\WebContent\app\js\jquery2.min.js                        | JavaScript |          3 |          1 |          1 |          5 |
| d:\BCA Project\TutorPod\WebContent\app\js\script.js                             | JavaScript |         64 |          3 |          4 |         71 |
| d:\BCA Project\TutorPod\WebContent\dashboard.html                               | HTML       |        321 |          0 |          3 |        324 |
| d:\BCA Project\TutorPod\WebContent\dashboard.jsp                                | HTML       |         10 |          0 |          2 |         12 |
| d:\BCA Project\TutorPod\WebContent\find-tutor.jsp                               | HTML       |          8 |          0 |          3 |         11 |
| d:\BCA Project\TutorPod\WebContent\footer.jsp                                   | HTML       |          4 |          0 |          1 |          5 |
| d:\BCA Project\TutorPod\WebContent\header.jsp                                   | HTML       |        606 |          0 |         18 |        624 |
| d:\BCA Project\TutorPod\WebContent\images\Hero_Illustration.svg                 | XML        |          1 |          0 |          0 |          1 |
| d:\BCA Project\TutorPod\WebContent\images\TutorPod.svg                          | XML        |          1 |          0 |          0 |          1 |
| d:\BCA Project\TutorPod\WebContent\images\TutorPod1.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\BCA Project\TutorPod\WebContent\images\TutorPod2.svg                         | XML        |          1 |          0 |          0 |          1 |
| d:\BCA Project\TutorPod\WebContent\images\accounts-vector.svg                   | XML        |          1 |          0 |          0 |          1 |
| d:\BCA Project\TutorPod\WebContent\images\logout-vector.svg                     | XML        |          1 |          0 |          0 |          1 |
| d:\BCA Project\TutorPod\WebContent\images\marketplace-vector.svg                | XML        |          1 |          0 |          0 |          1 |
| d:\BCA Project\TutorPod\WebContent\index.html                                   | HTML       |        391 |          0 |         12 |        403 |
| d:\BCA Project\TutorPod\WebContent\index.jsp                                    | HTML       |         29 |          0 |          1 |         30 |
| d:\BCA Project\TutorPod\WebContent\myDb.sql                                     | SQL        |        174 |          0 |          0 |        174 |
| d:\BCA Project\TutorPod\WebContent\notifications.jsp                            | HTML       |        118 |          0 |          1 |        119 |
| d:\BCA Project\TutorPod\WebContent\sidebar.jsp                                  | HTML       |         76 |          0 |          0 |         76 |
| d:\BCA Project\TutorPod\WebContent\tutor-application.html                       | HTML       |        630 |          0 |         18 |        648 |
| d:\BCA Project\TutorPod\WebContent\tutor-application.jsp                        | HTML       |      1,000 |          0 |         22 |      1,022 |
| d:\BCA Project\TutorPod\src\com\TutorPod\controller\AdminController.java        | Java       |        130 |          6 |         10 |        146 |
| d:\BCA Project\TutorPod\src\com\TutorPod\controller\BankAccountController.java  | Java       |        214 |          2 |          8 |        224 |
| d:\BCA Project\TutorPod\src\com\TutorPod\controller\CourseController.java       | Java       |        106 |          5 |         10 |        121 |
| d:\BCA Project\TutorPod\src\com\TutorPod\controller\NotificationController.java | Java       |        156 |          0 |          8 |        164 |
| d:\BCA Project\TutorPod\src\com\TutorPod\controller\SubjectController.java      | Java       |        148 |          1 |         12 |        161 |
| d:\BCA Project\TutorPod\src\com\TutorPod\controller\TutorController.java        | Java       |        320 |          0 |          8 |        328 |
| d:\BCA Project\TutorPod\src\com\TutorPod\controller\UserController.java         | Java       |        323 |          0 |         17 |        340 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\AddressDAO.java                    | Java       |        205 |          7 |         17 |        229 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\AdminBankAccDAO.java               | Java       |        146 |          0 |         12 |        158 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\AdminBankAccountDAO.java           | Java       |         83 |          0 |         11 |         94 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\AdminDAO.java                      | Java       |        167 |          9 |         18 |        194 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\BankAccDAO.java                    | Java       |        150 |          0 |         12 |        162 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\CourseDAO.java                     | Java       |        140 |          7 |         18 |        165 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\CourseSubDAO.java                  | Java       |        151 |          8 |         18 |        177 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\CourseSubjectDAO.java              | Java       |        149 |          5 |         25 |        179 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\ExperienceDAO.java                 | Java       |        195 |          7 |         17 |        219 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\FeesDAO.java                       | Java       |        168 |          6 |         14 |        188 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\NotificationDAO.java               | Java       |        216 |          6 |         20 |        242 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\SubjectDAO.java                    | Java       |        147 |          8 |         17 |        172 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\TutorDAO.java                      | Java       |        264 |          8 |         27 |        299 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\UserDAO.java                       | Java       |        231 |          7 |         14 |        252 |
| d:\BCA Project\TutorPod\src\com\TutorPod\dao\WalletDAO.java                     | Java       |        125 |          4 |         13 |        142 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Address.java                     | Java       |         78 |          0 |          2 |         80 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Admin.java                       | Java       |         39 |          0 |          4 |         43 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\AdminBankAcc.java                | Java       |         49 |          0 |          2 |         51 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\AdminBankAccount.java            | Java       |         93 |          0 |          2 |         95 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\BankAcc.java                     | Java       |         68 |          0 |          2 |         70 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Course.java                      | Java       |         58 |         11 |          1 |         70 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\CourseSub.java                   | Java       |         49 |          0 |          2 |         51 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\CourseSubject.java               | Java       |         93 |          0 |          3 |         96 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\CourseSubjects.java              | Java       |         27 |          0 |          3 |         30 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Experience.java                  | Java       |         97 |          0 |          5 |        102 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Fees.java                        | Java       |         64 |          0 |          4 |         68 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Notification.java                | Java       |         88 |          0 |          3 |         91 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Subject.java                     | Java       |         40 |          0 |          2 |         42 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Tutor.java                       | Java       |         67 |          0 |          3 |         70 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\TutorInfo.java                   | Java       |          6 |          0 |          3 |          9 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\User.java                        | Java       |        140 |         20 |          2 |        162 |
| d:\BCA Project\TutorPod\src\com\TutorPod\model\Wallet.java                      | Java       |         39 |          0 |          2 |         41 |
| Total                                                                           |            |     19,296 |        153 |        935 |     20,384 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
