"filename", "language", "XML", "HTML", "SQL", "JavaScript", "SCSS", "CSS", "Java", "Markdown", "comment", "blank", "total"
"d:\BCA Project\TutorPod\WebContent\META-INF\context.xml", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\BCA Project\TutorPod\WebContent\WEB-INF\web.xml", "XML", 159, 0, 0, 0, 0, 0, 0, 0, 0, 18, 177
"d:\BCA Project\TutorPod\WebContent\account-settings.html", "HTML", 0, 380, 0, 0, 0, 0, 0, 0, 0, 3, 383
"d:\BCA Project\TutorPod\WebContent\account-settings.jsp", "HTML", 0, 1109, 0, 0, 0, 0, 0, 0, 0, 7, 1116
"d:\BCA Project\TutorPod\WebContent\app\css\_adminHeader.scss", "SCSS", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"d:\BCA Project\TutorPod\WebContent\app\css\_adminLogin.scss", "SCSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"d:\BCA Project\TutorPod\WebContent\app\css\_adminMain.scss", "SCSS", 0, 0, 0, 0, 105, 0, 0, 0, 0, 1, 106
"d:\BCA Project\TutorPod\WebContent\app\css\_adminSideBar.scss", "SCSS", 0, 0, 0, 0, 139, 0, 0, 0, 0, 1, 140
"d:\BCA Project\TutorPod\WebContent\app\css\_animations.scss", "SCSS", 0, 0, 0, 0, 201, 0, 0, 0, 0, 6, 207
"d:\BCA Project\TutorPod\WebContent\app\css\_globals.scss", "SCSS", 0, 0, 0, 0, 1087, 0, 0, 0, 9, 160, 1256
"d:\BCA Project\TutorPod\WebContent\app\css\_header.scss", "SCSS", 0, 0, 0, 0, 458, 0, 0, 0, 1, 2, 461
"d:\BCA Project\TutorPod\WebContent\app\css\_hero.scss", "SCSS", 0, 0, 0, 0, 45, 0, 0, 0, 1, 1, 47
"d:\BCA Project\TutorPod\WebContent\app\css\_main.scss", "SCSS", 0, 0, 0, 0, 239, 0, 0, 0, 0, 15, 254
"d:\BCA Project\TutorPod\WebContent\app\css\_mixins.scss", "SCSS", 0, 0, 0, 0, 22, 0, 0, 0, 3, 2, 27
"d:\BCA Project\TutorPod\WebContent\app\css\_sidebar.scss", "SCSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 58
"d:\BCA Project\TutorPod\WebContent\app\css\_variables.scss", "SCSS", 0, 0, 0, 0, 36, 0, 0, 0, 3, 3, 42
"d:\BCA Project\TutorPod\WebContent\app\css\admin-styles.css", "CSS", 0, 0, 0, 0, 0, 2217, 0, 0, 0, 93, 2310
"d:\BCA Project\TutorPod\WebContent\app\css\admin-styles.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
